total_engagement_percentage,page_engagement_percentage,share_percentage,comment_percentage,post_category
60.0840336,41.9491525,0,0,Action
13.7868598,11.6803279,25.4464286,3.125,Inspiration
16.7562724,15.9770115,13.8888889,0,Action
9.7685367,9.5461659,6.5789474,3.2894737,Product
12.6777251,11.7961511,11.1111111,0,Action
12.3555166,10.7694223,5.907173,5.0632911,Action
19.1215324,15.9798535,16.4383562,2.739726,Inspiration
41.5185784,42.0542636,50,25,Action
17.6816464,16.2850601,11.7647059,0.8403361,Inspiration
1.1683096,1.1643317,5.8823529,17.6470588,Product
10.6361149,9.0930674,11.7647059,4.7058824,Action
15.4310345,14.3060837,29.3333333,0,Product
1.2017429,3.0416255,8.490566,3.7735849,Action
12.22965,14.827168,13.8888889,11.9047619,Product
12.9337539,14.7826087,14.2857143,0,Product
12.8275571,14.190051,9.3567251,2.6315789,Inspiration
15.4054054,13.9799636,20.2531646,2.5316456,Product
1.2983092,2.0898033,7.81893,1.6460905,Inspiration
21.0714286,14.243807,22.2222222,1.8518519,Inspiration
8.497191,4.5075519,9.7744361,2.2556391,Action
13.3591481,14.4517066,15.2542373,1.6949153,Product
19.7970195,24.2464539,8.9197225,5.9464817,Product
13.8955582,14.6351931,17.1428571,0,Inspiration
16.1150512,17.9621381,14.9253731,2.9850746,Product
14.351473,18.1087134,14.5748988,2.0242915,Product
4.1139241,4.063036,9.6774194,1.0752688,Inspiration
15,13.0650155,23.2954545,5.6818182,Inspiration
20.6105491,15.5907037,29.245283,0.9433962,Inspiration
16.4014974,14.5385588,10.4895105,0,Product
2.1075984,2.0702903,1.754386,71.9298246,Product
12.9933604,12.2739602,5.6521739,1.7391304,Action
17.5279702,18.5483871,18.4210526,5.2631579,Action
9.908337,17.7119628,22.6190476,1.984127,Action
5.0661626,7.3347858,21.7391304,15.2173913,Action
14.5794393,19.6442688,20.3821656,0.6369427,Inspiration
3.7715844,7.0843091,5.8796509,2.3426734,Inspiration
12.7399381,13.9811739,14.057508,7.9872204,Inspiration
18.3078928,20.4596162,15.6424581,1.6759777,Product
6.969697,11.0652353,23.0392157,0.9803922,Inspiration
12.8088962,15.1282051,12.9496403,2.8776978,Product
15.0849443,12.5739645,7.5471698,3.7735849,Action
11.2421384,13.0693582,23.1111111,4,Inspiration
41.1504425,25.3333333,20,0,Action
18.975469,15.6973752,10.8433735,2.4096386,Inspiration
6.4634594,8.821715,25,0,Inspiration
11.3051917,10.932768,28.2051282,2.5641026,Action
21.3791912,10.138539,22.0588235,5.8823529,Action
3.2864742,5.2233213,10.5504587,4.1284404,Inspiration
1.4958256,7.9058765,21.7821782,7.4257426,Action
19.2582511,9.8498233,21.09375,2.34375,Inspiration
14.5151134,10.0638978,24.822695,4.964539,Inspiration
15.0248051,16.1881188,14.8148148,1.4814815,Inspiration
22.7700414,24.5452478,11.8421053,16.6666667,Product
16.709639,18.6370882,13.3663366,4.4554455,Product
17.0433145,16.088632,16.2393162,4.2735043,Inspiration
11.6054159,15.4494382,23.5294118,5.8823529,Action
11.1086572,14.2857143,16.1172161,1.0989011,Inspiration
1.9056735,5.273752,8.2474227,4.1237113,Action
1.9878013,4.0592784,8.9795918,1.6326531,Action
2.3233996,12.5,7.3529412,0,Inspiration
27.2932331,27.8113664,32.1428571,7.1428571,Product
11.1683849,11.9346734,16.119403,7.4626866,Inspiration
5.4172057,6.3869992,5.8275058,0.9324009,Inspiration
20.2622169,14.221073,30.1204819,2.4096386,Inspiration
13.075374,15.0512582,15.0877193,3.8596491,Product
14.5047659,11.5358894,10.2564103,2.5641026,Action
2.797619,4.7245261,8.5308057,2.8436019,Action
1.2770898,1.4514515,14.2857143,0,Action
15.2921901,11.9924812,16.8674699,2.4096386,Inspiration
12.6712329,12.7472527,14.6153846,6.9230769,Product
12.5646123,13.5938231,16.6666667,3.7037037,Product
33.4605598,33.6363636,25,0,Action
12.6537217,16.3140312,14.5945946,2.7027027,Inspiration
14.1853933,12.1287129,3.5897436,13.3333333,Action
10.9566639,10.1759391,15.2777778,2.7777778,Action
13.7088734,18.1695221,12.2186495,0.9646302,Inspiration
13.2380074,14.6438953,12.1052632,6.3157895,Inspiration
9.3009119,9.5588235,23.7288136,1.6949153,Action
15.5913978,17.5587794,14.3939394,0,Product
19.0905935,15.8333333,17.0454545,0,Product
3.6772853,4.6811741,7.9365079,1.5873016,Action
19.4987775,13.8282899,31.8181818,1.5151515,Inspiration
14.0156919,13.0703067,21.4007782,6.614786,Inspiration
7.9129049,8.3049694,22.6666667,2.6666667,Action
4.4107086,4.3247629,8.2723692,3.263928,Product
6.7790657,7.3359073,13.4615385,0,Product
11.3516566,9.6153846,29.4117647,0,Product
17.5164967,16.8970814,6.8181818,9.0909091,Action
18.4089162,14.7482014,20.5882353,1.4705882,Product
3.1003489,8.6356467,14.2857143,0,Action
5.8017928,5.2261092,7.8947368,7.2368421,Action
3.4182848,6.2068966,18.2897862,3.087886,Action
18.3606953,22.3380491,16.9811321,0,Product
20.412595,17.6553672,13.8888889,0,Inspiration
9.752907,10.6269113,21.3333333,0,Action
22.0116054,16.2313433,20.8333333,0,Action
13.2251721,12.5703565,17.5675676,0,Action
14.0819964,22.9988053,16.9421488,1.2396694,Inspiration
16.5693758,17.9788484,16.4948454,2.0618557,Product
16.609589,19.7536946,14.2361111,1.3888889,Product
